City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,hacibektas,38.9408,34.5577,27.77,21,0,4.12,TR,1722527695
279,tionk essil,12.7856,-16.5217,31.03,68,94,5.99,SN,1722527696
280,sitka,57.0531,-135.33,12.94,88,75,3.09,US,1722527697
281,brisas de zicatela,15.8369,-97.0419,29.8,62,98,1.96,MX,1722527698
282,iyidere,41.0119,40.3619,24.98,75,48,0.96,TR,1722527699
283,kattivakkam,13.2167,80.3167,31.21,79,100,4.39,IN,1722527701
284,motueka,-41.1333,173.0167,3.94,81,2,2.82,NZ,1722527702
285,happy valley-goose bay,53.3168,-60.3315,21.17,88,75,1.03,CA,1722527703
286,yarmouth,41.7057,-70.2286,31.19,74,40,4.63,US,1722527704
287,yamada,39.4667,141.95,20.57,97,67,2.02,JP,1722527705
288,poronaysk,49.2167,143.1167,13.86,99,100,2.18,RU,1722527707
289,knoxville,35.9606,-83.9207,30.15,77,75,3.6,US,1722527708
290,kilindoni,-7.9139,39.6668,25.37,70,2,7.42,TZ,1722527709
291,polyarnyy,69.1989,33.4478,11.77,90,100,5.28,RU,1722527710
292,forster,-32.1667,152.5167,10.21,92,100,5.58,AU,1722527711
293,bandarbeyla,9.4942,50.8122,25.34,81,11,15.96,SO,1722527713
294,mossendjo,-2.9506,12.7261,29.79,34,18,1.92,CG,1722527714
295,bemowo,52.2445,20.9083,29.3,35,0,6.17,PL,1722527716
296,onega,63.9061,38.1404,17.5,75,79,3.33,RU,1722527717
297,sharkan,57.2989,53.8712,17.67,82,61,2.69,RU,1722527719
298,mont-dore,-22.2833,166.5833,20.56,99,100,1.98,NC,1722527720
299,shizuishan,39.2333,106.7694,27.25,40,100,9.31,CN,1722527721
300,ujae,8.9322,165.7642,28.32,77,49,4.54,MH,1722527722
301,homer,59.6425,-151.5483,14.47,75,86,2.93,US,1722527723
302,kavaratti,10.5669,72.642,27.45,86,100,6.44,IN,1722527725
303,kill devil hills,36.0307,-75.676,32.0,61,0,3.09,US,1722527726
304,kapuskasing,49.4169,-82.4331,25.05,65,20,4.63,CA,1722527727
305,puerto armuelles,8.2833,-82.8667,27.99,82,97,1.79,PA,1722527728
306,waitara,-38.925,174.25,8.61,81,98,7.29,NZ,1722527729
307,kailua-kona,19.6406,-155.9956,22.0,94,88,1.98,US,1722527731
308,medicine hat,50.0501,-110.6683,23.45,41,20,5.66,CA,1722527732
309,lata,40.1629,-8.3327,28.05,50,1,5.06,PT,1722527733
310,hillvue,-31.1244,150.915,1.95,100,4,1.54,AU,1722527734
311,oban,56.4127,-5.4706,20.21,73,51,2.51,GB,1722527735
312,nuku'alofa,-21.1333,-175.2,19.19,94,20,2.06,TO,1722527736
313,mangaratiba,-22.9597,-44.0406,26.48,73,2,5.29,BR,1722527738
314,candido mendes,-1.4467,-45.7167,31.92,45,28,2.18,BR,1722527739
315,manokwari,-0.8667,134.0833,25.94,83,94,1.82,ID,1722527740
316,umm kaddadah,13.6017,26.6876,29.5,47,100,9.05,SD,1722527741
317,tan-tan,28.438,-11.1032,25.97,69,20,8.75,MA,1722527742
318,huarmey,-10.0681,-78.1522,20.81,72,32,3.39,PE,1722527744
319,veshenskaya,49.6303,41.7334,26.55,26,88,4.02,RU,1722527745
320,namdrik,5.5994,168.1028,28.25,77,46,6.22,MH,1722527746
321,placido de castro,-10.3353,-67.1856,37.06,20,0,2.05,BR,1722527747
322,griffith,41.5284,-87.4237,27.38,88,40,2.06,US,1722527748
323,tyazhinskiy,56.116,88.524,17.33,84,44,1.58,RU,1722527750
324,tralee,52.2704,-9.7026,20.14,73,40,5.66,IE,1722527751
325,kone,-21.0595,164.8658,17.72,80,100,2.28,NC,1722527752
326,tingi,-11.3,35.0333,15.36,57,0,0.75,TZ,1722527753
327,gournay-en-bray,49.4828,1.7247,28.02,79,20,5.08,FR,1722527754
328,gejiu,23.306,103.1635,15.73,98,100,1.52,CN,1722527755
329,saudarkrokur,65.7461,-19.6394,13.92,73,100,2.2,IS,1722527757
330,itarantim,-15.6597,-40.0656,24.76,62,92,3.17,BR,1722527758
331,bubaque,11.2833,-15.8333,26.96,83,91,6.0,GW,1722527759
332,thames,-37.1333,175.5333,9.8,77,99,4.25,NZ,1722527760
333,kapa'a,22.0752,-159.319,21.18,82,40,1.54,US,1722527761
334,katsuura,35.1333,140.3,23.92,97,17,3.74,JP,1722527763
335,dalbandin,28.8947,64.4101,37.68,6,100,4.29,PK,1722527764
336,island harbour,50.724,-1.2758,27.24,78,32,4.82,GB,1722527765
337,port macquarie,-31.4333,152.9167,11.71,81,93,1.79,AU,1722527531
338,wuwei,37.9281,102.6414,19.05,75,100,3.42,CN,1722527767
339,harnoli,32.2792,71.5539,31.47,67,77,5.94,PK,1722527769
340,kirakira,-10.4544,161.9205,25.52,87,21,3.98,SB,1722527770
341,moroni,-11.7022,43.2551,24.7,75,15,6.02,KM,1722527771
342,kolwezi,-10.7148,25.4667,23.2,17,0,2.82,CD,1722527772
343,niquero,20.0431,-77.5828,32.49,55,54,3.35,CU,1722527774
344,saint-joseph,-21.3667,55.6167,21.21,65,25,2.15,RE,1722527776
345,qarazhal,48.0078,70.7903,32.72,20,51,4.02,KZ,1722527777
346,novi pazar,43.1367,20.5122,31.88,25,0,1.27,RS,1722527778
347,san luis,-33.295,-66.3356,21.1,39,100,2.33,AR,1722527780
348,siwa oasis,29.2041,25.5195,37.66,17,1,4.91,EG,1722527781
349,likasi,-10.9814,26.7333,21.97,19,0,1.91,CD,1722527782
350,hasaki,35.7333,140.8333,26.22,90,12,3.3,JP,1722527783
351,turbat,26.0023,63.044,31.11,69,100,5.69,PK,1722527784
352,vina del mar,-33.0246,-71.5518,13.88,82,100,6.17,CL,1722527786
353,macusani,-14.0833,-70.4333,10.64,30,0,1.1,PE,1722527787
354,villa elisa,-25.3667,-57.6167,31.33,45,0,7.72,PY,1722527788
355,egilsstadir,65.2653,-14.3948,12.95,76,75,2.57,IS,1722527789
356,udayagiri,20.1333,84.3833,21.9,95,100,2.21,IN,1722527790
357,aqaba,29.5267,35.0078,38.92,25,0,6.17,JO,1722527792
358,crane,31.3974,-102.3501,29.1,50,0,7.26,US,1722527793
359,celestun,20.8667,-90.4,31.27,57,8,1.24,MX,1722527794
360,port-gentil,-0.7193,8.7815,24.35,72,99,6.84,GA,1722527795
361,tuy hoa,13.0833,109.3,26.67,83,74,2.28,VN,1722527796
362,kharkhorin,47.1975,102.8238,14.04,89,98,2.54,MN,1722527798
363,vung tau,10.346,107.0843,27.44,82,19,5.4,VN,1722527799
